"record_id","session_id","speaker_id","account_id","speaker_order","first_name","last_name","full_name","title_affiliation","biography","image_url","linkedin_url"
"b0784d43-ef8a-4927-9382-6a4050b3f633","b0f7dd94-2268-44ed-9809-e5580116d967","83d0591f-224d-4ddc-98f0-9e969558ae4d","7c7be9c4-e847-475e-95c6-a6f89ff9139b",1,"Meghan","Harris","Meghan Harris","Memorial Sloan Kettering",,,
"cf1bb463-aed5-48e4-8de8-fb83a5a44f29","bdb76c9a-885c-48f0-adc6-f282c9d6a226","fb427a5d-449c-463a-b863-a9563ebb57ed","c6b53aed-2281-4327-89c2-a61358b5b180",1,"Wes","McKinney","Wes McKinney","Principal Architect, Posit","Wes is an entrepreneur and software developer focusing on analytical
computing. He is currently a Principal Architect at Posit. He previously
created or co-created the Python pandas, Ibis, and Apache Arrow open
source projects. More recently, Wes has delved into agentic software
engineering with the roborev and msgvault projects, supporting
continuous code review and secure, private email storage and search for
AI agents. He is a frequent speaker at conferences and is a co-host of
The Test Set, a data science podcast from Posit.","https://img.zuddl.com/a02cfe09-ad75-4efc-805d-92005b02c646","https://www.linkedin.com/in/wesmckinn/"
"4967c832-247f-47bc-9cd4-789b23007eb6","d5d06c90-da4e-4829-9ca5-4355551c4a40","d0f8bf13-ddf2-428f-a968-65ab114cb5cf","5d50d7f1-9821-4b5f-8893-b5b7fc8cdad1",1,"Sam","Clark","Sam Clark","Posit",,,
"fddb99bc-fa2e-48d4-a477-f2c531e57136","0c233e86-cec9-432e-81df-cc49a45f6a16","d32466a1-9b90-480e-b4e3-0d98e6bac5e6","207a2824-f657-4290-b5ea-11a783a6de86",1,"Nicky","Bell","Nicky Bell","Powered Analysis",,,
"c735eb9a-dffe-4224-a814-13c637e36115","d18077e0-590e-4bc8-ad1c-29807f223f75","c52cb354-c4f6-439e-9059-438abe301cc2","4b978c9d-2f19-427e-99d4-d3140a72f4e0",1,"Morgana","Kinlan","Morgana Kinlan","Sr. Strategic Services Analyst, DeepSeas","I'm a strategic data scientist who helps teams make sense of messy,
complex data. My current role focuses on defining metrics, building
reporting pipelines, and identifying the right measures to track
organizational goals and highlight team impact, turning ambiguity into
clear, actionable insight leadership can act on.

I enjoy partnering across organizations, delivering training, and
developing fun (to me anyway!) visualizations and tools. Outside of
work, I'm passionate about organizational systems, reading science
fiction, and running outdoors.

If you're working on something interesting or just want to connect, feel
free to reach out!","https://img.zuddl.com/3e0157d2-5540-42b3-a0f4-289a308b665f","https://www.linkedin.com/in/morgana-kinlan"
"8791807f-c8d8-4dfc-b633-2c586a759bd7","f80733aa-789b-4d89-b207-e07a9eaf9809","88f6a9eb-a9ce-4448-a09c-4204332c83f8","459353de-e9ad-4180-a0c5-9fb2fb0d33b5",1,"Kelly","Pisane","Kelly Pisane","Senior Data Scientist , Booking.com","","https://img.zuddl.com/a14091d6-81e7-4a72-92be-be991a3dd58f","https://www.linkedin.com/in/kellypisane/"
"b1449964-9238-4c83-b76f-1ad3d846d505","608fdcf5-360e-42e9-b4c8-4f07dda69546","d208b725-2b62-4108-8381-0ea7c8eaedab","9d60078b-ecac-4c2c-8880-aebc83d5baab",1,"Hamid","Shafiezadeh","Hamid Shafiezadeh","Data Scientist at FNBO (First National Bank of Omaha)",,,
"1f8a9dce-55d8-4dc1-8da0-de0e3ee38918","58a6f348-b84f-4128-adf4-6aabb765201d","c1374230-cf85-486c-a4d3-00355a96915e","ab783f2b-bc43-49c3-8963-de1b4a68c314",1,"Alan","Pan","Alan Pan","Houston Methodist Research Institute",,,
"b0512f3f-0c7c-431a-acf4-91fc2963cbc8","ba3b8a9c-6f9e-4322-89b4-2ef0c88c0da5","ba65fbab-a9d7-4987-8dcd-ef1f3abc46b1","b62f2b17-ff2b-496a-b764-0cc51faf8972",1,"Emily","Riederer","Emily Riederer","Senior Manager of Data Science, Capital One","Emily Riederer is a data scientist at Capital One where she leads the
development of specialty underwriting models and serves as a Model Risk
Officer for fraud models. Over the past decade, Emily has worn all the
hats in the data space with work spanning analysis (inference and
measurement), engineering (analyst tools, data pipelines, data
products), and science (core machine learning). She is passionate about
bridging the gaps between these disciplines. While navigating large
enterprise settings, Emily has also served as a “data team of one” for
many pro-bono projects and data-driven voter turnout initiatives.
Outside of work, Emily enjoys supporting open source software and the
free flow of information. She promotes open science by serving on the
editorial board of rOpenSci, on the technical advisory board of
Bluebonnet Data, and as a volunteer statistical textbook reviewer for
Routledge / CRC Press. Her own writing and past talks center on
developing reproducible workflows and exposing the tacit knowledge of
data work and can be found on her website
https://www.emilyriederer.com/.","https://img.zuddl.com/4c085bdd-6a81-449d-ae01-50bb265e0114","linkedin.com/in/emilyriederer"
"afabacaa-e3b8-4abd-92b7-b20c82529d19","540e6520-37e9-4f75-9022-844101d448c4","82bf833c-a1c8-4c99-8efe-fdbd19016654","d2cc01d7-7e62-4308-9491-6897f476dc98",1,"Abhishek","Maligehalli Shivalingaiah","Abhishek Maligehalli Shivalingaiah","Partner Solution Architect, AWS","","https://img.zuddl.com/8dae4960-9b6a-44bf-8166-52f408b086ba",""
"afabacaa-e3b8-4abd-92b7-b20c82529d19","540e6520-37e9-4f75-9022-844101d448c4","3a27833e-cb39-4ec6-8094-33fe86f15010","408ed598-d0e9-4020-81c1-0fad93da9b94",1,"Sam","MacIntyre","Sam MacIntyre","Partner Development Manager, AWS","","https://img.zuddl.com/784923e7-8e46-4b80-8a32-3d4d980a4db3",""
"afabacaa-e3b8-4abd-92b7-b20c82529d19","540e6520-37e9-4f75-9022-844101d448c4","5566c13b-541b-4dae-bf14-8946af49f3a3","d37fd60a-411a-4de9-85c3-ba776cb896e8",1,"Sri Aakash ","Mandavilli","Sri Aakash  Mandavilli","Software Development Engineer, AWS","","https://img.zuddl.com/2f854dc7-c3fd-4fba-aae5-452e4c55338d",""
