"record_id","session_id","parent_session_id","title","abstract","start_time_utc","end_time_utc","start_time_event_local","end_time_event_local","session_type","session_format","venue","sub_venue","location_name","location_id","status","track_title","track_start_time_utc","track_end_time_utc","track_start_time_event_local","track_end_time_event_local","track_session_format","track_venue","track_sub_venue","track_location_id","track_location_name","effective_location_name","effective_session_format","is_keynote"
"55591410-5d9c-40f2-89d2-4ab036f0a8e9","0d95ac5d-041e-406e-bfb5-e11e51a5855c","6e2e84ec-d307-483d-ab7a-e68b54ec2abb","From Programming Alone to Programming and Prompting: Teaching Bilingual AI-Enabled Data Science with Positron and Quarto","Most courses teach R or Python. I teach both—in the same Quarto documents, using Positron. Students start with parallel tracks (bag-of-words, NLP in both languages), then shift mid-semester to integrated workflows: R for preprocessing, Python for transformers. But I've moved beyond programming alone. Prompt engineering starts week two. GitHub Copilot and Positron Assistant are available from day one, with prompting exercises in every lab. These bilingual, AI-augmented skills are essential. One surprise: students with no prior programming experience end up more bilingual than those who arrive knowing one language. No home base to retreat to. I'll share what's working, what's not, and how Positron and Quarto make this practical.",2026-09-15 18:40:00,2026-09-15 19:00:00,"2026-09-15 13:40:00 CDT","2026-09-15 14:00:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING","Teaching at the frontier",2026-09-15 18:00:00,2026-09-15 19:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:20:00 CDT","HYBRID","STAGE","Lanier Ballroom H&K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","Ballroom H & K","Ballroom H & K","HYBRID",FALSE
"84a45d1a-d3af-48a8-b8d3-cf971a82fe62","27c8a62b-f659-4bdd-88af-678a424115de","6e2e84ec-d307-483d-ab7a-e68b54ec2abb","Designing Reproducible Learning Ecosystems with R and Quarto","Reproducibility in data science is often taught as a final requirement rather than as a workflow that evolves over time. This talk presents a reproducible learning ecosystem built with R and Quarto that moves learners from one-off assignments to durable, public work—and ultimately into contributors. Learners iteratively refactor their analyses into portfolio books, contribute to a shared research volume built on real civic data, and engage with open tooling that lowers barriers to authentic analysis. The session focuses on design decisions, lessons learned, and practical patterns for teaching reproducibility through iteration, ownership, and real-world data.",2026-09-15 19:00:00,2026-09-15 19:20:00,"2026-09-15 14:00:00 CDT","2026-09-15 14:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING","Teaching at the frontier",2026-09-15 18:00:00,2026-09-15 19:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:20:00 CDT","HYBRID","STAGE","Lanier Ballroom H&K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","Ballroom H & K","Ballroom H & K","HYBRID",FALSE
"a3a8722c-b5bc-4226-93b4-ef9eef1382ba","59f48a1f-f263-48ee-9d83-69fa8e358918","e6a9a754-554b-40b3-bc07-8832232817ac","Bridging the Gap: Custom Catalogs to Connect End Users with Data Products","For data scientists today, creating stellar apps and reports is not enough without proper dissemination to the end users. Our team has created dozens of Shiny apps and Quarto reports which can be useful to the wider organization. Now, to bridge the gap between our users and data products, we have developed an interactive catalog with Quarto Dashboard, the connectapi R package, and a content tags hierarchy on Connect. We aim to help end-users explore our offerings and quickly find the tools they can most benefit from. My talk will demonstrate how any data analytics team can easily build their own custom catalog to better communicate with their end users.",2026-09-15 20:20:00,2026-09-15 20:40:00,"2026-09-15 15:20:00 CDT","2026-09-15 15:40:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING","Dashboards",2026-09-15 19:40:00,2026-09-15 21:00:00,"2026-09-15 14:40:00 CDT","2026-09-15 16:00:00 CDT","HYBRID","STAGE","Lanier Ballroom H&K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","Ballroom H & K","Ballroom H & K","HYBRID",FALSE
"99e47b97-f9ca-442f-b35d-13faff610e10","88660825-0f13-4775-a1a7-85e6bf03e179","e6a9a754-554b-40b3-bc07-8832232817ac","The Tableau Plateau: From Dashboards to AI-Ready Data Products","At Suffolk, we hit a “Tableau plateau.” Our team had split into two tribes: point-and-click dashboard builders and code-first data scientists. BI tools felt faster - but capped our technical ceiling. By standardizing on Shiny, using Git-backed deployment for Posit Connect, and leveraging AI coding agents like Positron Assistant, we flipped the equation. With Shiny modules and brand.yml providing guardrails for developers and agents, we standardized structure, styling, and patterns. Code not only surpassed point-and-click tools in speed - it produced extensible products built for ML and AI integration. This shift unified our team and transformed dashboards from reporting artifacts into AI-ready data products.",2026-09-15 20:00:00,2026-09-15 20:20:00,"2026-09-15 15:00:00 CDT","2026-09-15 15:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING","Dashboards",2026-09-15 19:40:00,2026-09-15 21:00:00,"2026-09-15 14:40:00 CDT","2026-09-15 16:00:00 CDT","HYBRID","STAGE","Lanier Ballroom H&K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","Ballroom H & K","Ballroom H & K","HYBRID",FALSE
"e61c42c5-eb16-4b72-ae4c-0a9981c591b1","bf5c2cd1-e852-4091-a353-5f2734e12e82","8f5f8944-1162-403c-a1db-630773982de4","Everything you wanted to know about agents* (*but were afraid to ask)","Agents, agents, agents. The practice of software development has been transformed by AI coding agents like Claude Code. The practice data science is also being changed by AI coding agents, but not quite in the same way. Data science uses many of the same tools and techniques as pure software development, but at its heart there is a fundamental difference: with software development, the goal is to build something, but with data analysis, the goal is to learn something.

With that in mind, I’ll talk about:
- What is an agent?
- How do they work?
- What are they good at, and what are they bad at?
- How is software development different from data science?
- How can you maximize your trust in agent’s work?",2026-09-15 19:00:00,2026-09-15 19:20:00,"2026-09-15 14:00:00 CDT","2026-09-15 14:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","UPCOMING","Agents, context, MCP",2026-09-15 18:00:00,2026-09-15 19:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:20:00 CDT","HYBRID","STAGE","Lanier Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","Ballroom A-F","Ballroom A-F","HYBRID",FALSE
"f08cbc1e-125d-410f-8764-702807c5da30","30c98377-d6ce-42b2-a1f9-c6db99ae9d46","9d001917-4982-4e58-ad40-198d7429acb4","Great Docs: Beautiful Documentation Sites for Python Packages","Documentation is one of the most impactful things you can do for your Python package (and one of the most tedious to set up). Between manually cataloging your API, wrestling with configuration, and keeping everything in sync as your code evolves, many projects ship with incomplete docs (or none).

Great Docs eliminates this friction. A single command auto-discovers your package's public API and generates a complete, professionally styled documentation site. It also auto-generates llms.txt files, creates license and citation pages, and gives you a polished landing page, organized API reference, and User Guide section.

In this talk, I'll introduce Great Docs, walk through its workflow, and demo sites I've built for several Python projects.",2026-09-15 18:00:00,2026-09-15 18:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 13:05:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom L & I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","UPCOMING","Lightning Talks",2026-09-15 18:00:00,2026-09-15 19:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:05:00 CDT","HYBRID","STAGE","Lanier Ballroom L&I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","Ballroom L & I","HYBRID",FALSE
"752292d3-8052-4279-90fe-7a81c9ba52e8","060184f4-b21c-4129-a76c-4bd658e02f73","9d001917-4982-4e58-ad40-198d7429acb4","Less to decide, more to reuse: the block in blockr","<p>We present blockr, a framework for interactively building data workflows, developed in collaboration with Bristol-Myers Squibb. Implemented as a modular set of R packages, blockr suits applications from interactive dashboards to static reports. The break-down into well-defined steps, along with AI assistance, provides a natural, no-code interface to complex problems. A block is a deliberately restricted unit of computation, and this is what lets the same blocks be reused across very different applications. We show what it takes to write a block. We then look at a production app built almost entirely from general-purpose blocks, with domain-specific ones only where the problem demands them, and an AI assistant to assemble them.</p>
",2026-09-15 18:05:00,2026-09-15 18:10:00,"2026-09-15 13:05:00 CDT","2026-09-15 13:10:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom L & I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","UPCOMING","Lightning Talks",2026-09-15 18:00:00,2026-09-15 19:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:05:00 CDT","HYBRID","STAGE","Lanier Ballroom L&I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","Ballroom L & I","HYBRID",FALSE
"818b085a-f1f5-413b-a1bf-59f898ae24b9","5f425ba7-46da-4c0c-9df5-eaf0f577a05c","9d001917-4982-4e58-ad40-198d7429acb4","Debugging Is a Nightmare: Meaningful Metaphors for Data Science Education","Metaphor and analogy are often treated as rhetorical flourishes, but they play a real role in how we learn technical concepts. In data science education, metaphors help make invisible processes visible and support transfer from familiar experience into abstract reasoning. This talk treats “debugging is a nightmare” as more than a phrase, using it to guide concrete practices like “dream journaling” (minimal reproducible examples), “lucid dreaming” (stepping through code), and “magic apples” (capturing state). It then steps back to reflect on how such frames shape learners’ reasoning, where they help, where they break down, and what educators should be deliberate about in choosing appropriate metaphors.",2026-09-15 18:20:00,2026-09-15 18:25:00,"2026-09-15 13:20:00 CDT","2026-09-15 13:25:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom L & I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","UPCOMING","Lightning Talks",2026-09-15 18:00:00,2026-09-15 19:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:05:00 CDT","HYBRID","STAGE","Lanier Ballroom L&I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","Ballroom L & I","HYBRID",FALSE
"f1068ac1-7084-4dc0-affb-555cafb4d505","b5055759-bafe-45eb-a5fd-4fadc7a280c1","9d001917-4982-4e58-ad40-198d7429acb4","Finding Common Language between Data Scientists and Non Data Scientists","Data scientists need to communicate effectively with stakeholders who do not have a programming background but do have detailed technical knowledge in an area where the data scientist is not an expert. Finding the right shared language helps minimize wasted work, especially early in a project. For example: cooking recipes can serve as an analogous data set understood by synthesis chemists and data scientists working on chemical reaction data. Use of a common language reduces the amount of brainpower spent interpreting terminology and allows everyone to focus on design goals – data visualizations, search interfaces, data sources, etc. This talk will provide advice for finding a shared language topic and examples of how they can be used.",2026-09-15 18:25:00,2026-09-15 18:30:00,"2026-09-15 13:25:00 CDT","2026-09-15 13:30:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom L & I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","UPCOMING","Lightning Talks",2026-09-15 18:00:00,2026-09-15 19:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:05:00 CDT","HYBRID","STAGE","Lanier Ballroom L&I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","Ballroom L & I","HYBRID",FALSE
"8665cd4e-023a-4cf7-820f-e8fe3c0d45d0","8f416037-0a9c-41c8-816a-37dc329f89b6","9d001917-4982-4e58-ad40-198d7429acb4","SELECT instance FROM cloud WHERE workload = ? ORDER BY cost_efficiency","Selecting the right cloud instance for DS/ML/AI workloads is still mostly guesswork. Pricing and hardware specs exist, but fragmented across providers and hard to compare, especially when real workload performance matters.

We introduce Spare Cores Navigator, an open dataset covering thousands of cloud instance types across vendors with standardized performance and cost-efficiency metrics. We show how instance choice becomes a simple data task in R or Python: filter by workload, hardware, compliance, or budget, then rank candidates by price-performance to identify the most efficient option for your workload.",2026-09-15 18:30:00,2026-09-15 18:35:00,"2026-09-15 13:30:00 CDT","2026-09-15 13:35:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom L & I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","UPCOMING","Lightning Talks",2026-09-15 18:00:00,2026-09-15 19:05:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:05:00 CDT","HYBRID","STAGE","Lanier Ballroom L&I","28e89ca6-8a47-43a9-b4ae-a3ee04e71a58","Ballroom L & I","Ballroom L & I","HYBRID",FALSE
